The 3D marker tracked was used by the following settings:
Number of markers 5
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00000.png,201.992,520.208,276.02608695652174,283.54782608695655,357.44444444444446,599.2380952380952,403.822695035461,334.4751773049645,469.4568527918782,666.7664974619289,497.6421052631579,474.53684210526313
1,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00001.png,215.61744966442953,513.1006711409395,293.05839416058393,276.2189781021898,356.8207547169811,589.3207547169811,402.7153846153846,331.2076923076923,467.6442307692308,654.8894230769231,498.9017341040462,463.8728323699422
2,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00002.png,216.8125,504.27777777777777,301.3645833333333,278.140625,357.21008403361344,591.09243697479,400.7457627118644,326.7372881355932,467.4188481675393,644.5026178010471,493.864,459.968
3,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00003.png,226.94262295081967,494.54918032786884,301.8421052631579,278.203007518797,349.6871165644172,582.5337423312883,399.3790322580645,321.9516129032258,468.0272727272727,631.5909090909091,495.5774647887324,453.73943661971833
4,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00004.png,219.35245901639342,494.3196721311475,301.469696969697,272.3409090909091,345.8604651162791,573.9883720930233,400.72131147540983,320.08196721311475,469.46560846560845,618.3544973544973,500.3543307086614,442.2992125984252
5,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00005.png,200.5462962962963,508.1666666666667,284.2266666666667,275.26,351.2183908045977,557.6321839080459,393.8196721311475,293.53551912568304,473.2361111111111,564.1944444444445,505.40625,387.4609375
6,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00006.png,192.0076923076923,507.4153846153846,270.3496932515337,277.319018404908,351.3114754098361,565.7540983606557,401.4296875,312.234375,466.73493975903614,593.6987951807229,505.0917431192661,418.43119266055044
7,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00007.png,187.9310344827586,508.57758620689657,266.4,284.3636363636364,346.81865284974094,558.139896373057,397.65034965034965,304.958041958042,469.9888888888889,580.8333333333334,507.020202020202,403.55555555555554
8,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00008.png,192.05882352941177,502.73856209150324,282.26206896551724,267.99310344827586,345.6418918918919,481.93243243243245,394.5875,246.3625,450.7795698924731,325.7043010752688,503.3,214.7375
9,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00009.png,196.04580152671755,494.9618320610687,284.13709677419354,266.60483870967744,350.14611872146116,547.0365296803653,391.87861271676303,285.4971098265896,462.2287581699346,520.2418300653595,502.1636363636364,363.0909090909091
10,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00010.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00010.png,202.9327731092437,483.5126050420168,285.7433628318584,263.3362831858407,348.7570621468927,540.5649717514125,390.73228346456693,280.43307086614175,457.7957746478873,502.22535211267603,502.0,352.09302325581393
11,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00011.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00011.png,204.921875,468.2578125,281.1135135135135,263.2,346.0485436893204,538.8252427184466,393.59712230215825,279.9280575539568,455.0774647887324,482.98591549295776,502.312101910828,340.56050955414014
12,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00012.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00012.png,209.28971962616822,463.0093457943925,285.7923076923077,261.5,338.5763888888889,526.1527777777778,395.6768558951965,275.4148471615721,455.11042944785277,465.19018404907973,502.0322580645161,328.6516129032258
13,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00013.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00013.png,203.65693430656933,465.963503649635,283.7483870967742,263.2903225806452,343.54358974358973,523.5487179487179,395.5904761904762,272.1666666666667,453.96296296296293,440.91358024691357,502.9496402877698,319.1223021582734
14,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00014.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00014.png,208.95833333333334,462.8833333333333,276.78632478632477,255.04273504273505,344.92105263157896,520.0684210526316,389.51724137931035,262.81609195402297,463.93506493506493,423.24675324675326,497.71098265895955,301.04046242774564
15,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00015.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00015.png,203.96825396825398,464.55555555555554,273.5229357798165,257.33027522935777,343.0914634146342,516.920731707317,391.0888888888889,264.0777777777778,463.83673469387753,405.6224489795918,500.35135135135135,292.3297297297297
16,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00016.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00016.png,202.16666666666666,466.96296296296293,278.1666666666667,251.86507936507937,339.63703703703703,507.837037037037,390.6,261.62307692307695,454.5959595959596,393.6363636363636,504.42857142857144,281.5285714285714
17,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00017.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00017.png,201.5511811023622,472.11811023622045,283.4166666666667,241.39880952380952,340.8235294117647,507.6078431372549,388.3228346456693,260.78740157480314,471.18791946308727,381.6241610738255,503.3333333333333,273.0530303030303
18,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_30_12/frame00018.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_30_12/frame00018.png,199.4817518248175,479.7445255474453,283.65942028985506,240.90579710144928,339.8551724137931,505.3103448275862,391.5229357798165,256.0642201834862,473.63076923076926,363.4923076923077,502.93700787401576,260.11811023622045
