The 3D marker tracked was used by the following settings:,,,,,,,,,,,,,,
Number of markers 3,,,,,,,,,,,,,,
SLIC parameters as Number 12000 Sig 1 Comp 5,,,,,,,,,,,,,,
Window size was 35,,,,,,,,,,,,,,
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13,,,,,,,,,,,,,,
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00000.png,236.0839695,1039.442748,254.3660131,696.6339869,398.1468927,1041.887006,411.5151515,716.9636364,467.6933333,872.16,492.0446429,628.4821429
1,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00001.png,231.76,1029.693333,269.8688525,685.1721311,393.3975904,1041.927711,411.44375,716.16875,467.6725664,866.2831858,490.3198653,633.1481481
2,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00002.png,231.6451613,1029.548387,272.5530303,686.8030303,398.1338028,1034.06338,404.5340909,710.9034091,467.0442478,858.8318584,479.2416667,627.6416667
3,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00003.png,247.6808511,1029.680851,274.2611111,673.7944444,394.4385027,1028.566845,410.691358,712.7901235,467.377551,855.4540816,479.2307692,624.3675214
4,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00004.png,252.7241379,1030.508621,283.6131387,670.0364964,388.25,1028.294118,407.0165746,709.6464088,467.538961,850.4805195,479.4042553,618.1276596
5,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00005.png,262.4829932,1033.272109,281.4885496,667.0458015,392.5464481,1019.885246,408.8615385,709.6923077,466.6033755,838.6075949,489.8990826,616.6422018
6,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00006.png,261.1958042,1029.426573,285.5197368,666.1907895,385.6461538,1018.615385,403.4331551,704.7593583,465.7048458,832.0484581,490.1954545,610.7772727
7,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00007.png,259.0344828,1035.448276,286.1468531,664.6713287,389.8922156,1009.257485,407.0428571,704.35,466.1055276,824.8894472,490.4915966,605.3781513
8,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00008.png,256.0322581,1033.758065,285.1021898,663.2481752,389.5185185,1002.154321,408.3225806,702.9758065,464.9282511,812.573991,487.8324607,602.1780105
9,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00009.png,250.6779661,1029.567797,278.1240876,657.5328467,384.1209677,996.9677419,403.3953488,696.9767442,463.6724138,803.6896552,477.1166667,594.0416667
10,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00010.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00010.png,253.7121212,1023.416667,269.6580311,657.7720207,385.2397661,988.4152047,405.738255,695.1208054,463.3285024,793.5845411,474.4144144,590.4144144
11,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00011.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00011.png,245.1596639,1015.193277,275.5725191,651.1832061,380.3833333,983.0583333,398.5243902,684.2804878,454.729927,786.0145985,474.9387755,582.3265306
12,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00012.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00012.png,247.2105263,1014.585526,266.2342857,651.0571429,381.2364865,973.6689189,401.845679,683.9320988,449.2372881,776.8983051,472.7444444,577.2222222
13,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00013.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00013.png,241.275,1003.641667,261.9891892,650.7297297,383.7419355,963.8580645,404.31875,681.39375,446.7302632,767.8289474,473.7901235,569.2839506
14,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00014.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00014.png,236.7686567,1003.08209,266.1041667,643.1597222,381.3306452,954.75,399.7965116,673.2790698,443.4097222,754.7222222,469.6206897,563.7126437
15,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00015.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00015.png,225.9316239,992.1282051,258.2030075,644.8120301,382.1568627,946.3431373,395.3771429,665.5485714,450.4230769,736.2362637,467.7586207,557.9655172
16,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00016.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00016.png,218.0930233,978.2170543,258.4417178,634.5337423,373.2794118,939.0147059,391.7831325,664.1927711,452.1312217,723.3348416,469.1428571,552.032967
17,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00017.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00017.png,219.6524823,972.3049645,254.16875,631.8875,360.8630137,932.7808219,395.9142857,660.2285714,451.1746032,714.0436508,470.7978723,545.7553191
18,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00018.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00018.png,211.4482759,967.2155172,251.65625,624.4296875,368.0948905,921.7956204,386.2962963,658.1604938,452.0089286,705.7410714,467.6373626,540.7582418
19,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00019.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00019.png,212.2689076,963.8823529,249.8479532,621.625731,355.2666667,916.68,388.1818182,647.5215311,451.1369863,696.9543379,471.9255319,535.3723404
20,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00020.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00020.png,214.0534351,951.3740458,249.08,617.5933333,356.8440367,906.9541284,387.8425197,643.8346457,453.122549,688.5441176,469.7526882,532.5376344
21,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00021.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00021.png,214.5507246,947.2826087,249.8317757,609.8504673,350.3974359,901.3461538,388.9041096,639.9109589,453.2923077,680.6820513,475.0378788,528.1439394
22,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00022.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00022.png,214.3739837,945.0243902,254.0066667,607.5466667,348.9297297,891.0918919,385.9934641,635.5555556,455.6869159,675.2476636,480.2653061,524.6598639
23,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00023.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00023.png,208.8671875,933.609375,256.8189655,598.2413793,345.2708333,885.0729167,382.9224138,632.5344828,459.3417085,669.0603015,477.3272727,521.7545455
24,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_29_13/frame00024.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_29_13/frame00024.png,208.1,920.4090909,247.8596491,597.6578947,342.7922078,879.1558442,381.2281553,623.5679612,460.9351351,665.4054054,484.6052632,519.7982456
