The 3D marker tracked was used by the following settings:
Number of markers 3
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00701.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00701.png,270.1,1183.74,279.55974842767296,797.496855345912,434.3272727272727,1270.2818181818182,440.6958762886598,883.0567010309278,541.8064516129032,1211.5806451612902,539.4,944.9684210526316
1,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00702.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00702.png,262.4751773049645,1174.6737588652481,280.1764705882353,794.6470588235294,440.02840909090907,1276.278409090909,433.4855072463768,877.8550724637681,538.2076923076922,1229.1615384615384,538.0958083832336,957.8562874251497
2,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00703.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00703.png,256.8349514563107,1177.0339805825242,283.39568345323744,796.2589928057554,439.6741573033708,1281.4662921348315,432.72727272727275,880.4015151515151,539.4558823529412,1237.375,537.8448275862069,965.1321839080459
3,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00704.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00704.png,254.92814371257487,1177.688622754491,272.325,796.2,426.7851851851852,1279.8148148148148,433.29333333333335,884.04,541.5606936416185,1237.5260115606936,536.6666666666666,972.1355932203389
4,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00705.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00705.png,255.92253521126761,1179.0352112676055,273.8224852071006,796.3491124260355,432.2763157894737,1277.5197368421052,432.66486486486485,886.7945945945946,539.0792079207921,1250.960396039604,536.4907975460122,979.2699386503067
5,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00706.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00706.png,247.75925925925927,1182.3271604938273,273.1142857142857,794.0380952380953,423.7409638554217,1281.3373493975903,432.7548387096774,891.4258064516129,538.6548672566372,1257.867256637168,534.6408839779006,984.7348066298342
6,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00707.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00707.png,254.34027777777777,1177.7777777777778,270.46527777777777,795.6527777777778,421.21527777777777,1286.4583333333333,434.5255102040816,897.0663265306123,538.0,1263.376,534.048128342246,991.3208556149733
7,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00708.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00708.png,247.43093922651934,1181.132596685083,273.85,790.3125,430.8888888888889,1292.8950617283951,428.3051948051948,893.4415584415584,536.2870370370371,1270.5925925925926,532.3085714285714,997.7828571428571
8,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00709.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00709.png,246.01234567901236,1182.567901234568,274.6761363636364,793.25,433.53614457831327,1302.3734939759036,428.2589928057554,899.0359712230215,533.081081081081,1278.900900900901,528.7832167832167,1005.5944055944055
9,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00710.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00710.png,247.2268907563025,1185.7899159663866,263.3454545454546,796.3636363636364,427.314606741573,1302.387640449438,427.17721518987344,906.0126582278481,531.7152317880794,1287.132450331126,528.5153061224489,1011.454081632653
10,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00711.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00711.png,238.75,1193.2272727272727,265.30270270270273,793.0324324324324,423.74045801526717,1302.679389312977,428.45901639344265,914.4262295081967,531.0866666666667,1292.6733333333334,526.2474226804123,1017.4845360824743
11,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00712.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00712.png,235.65853658536585,1188.6341463414635,261.9323308270677,796.9323308270676,419.7046979865772,1300.4295302013422,428.9304347826087,921.9391304347826,529.3666666666667,1285.7916666666667,524.2871794871795,1023.2717948717949
12,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00713.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00713.png,233.7077922077922,1186.3766233766235,259.0949720670391,791.7206703910615,420.30872483221475,1307.4630872483222,426.08035714285717,923.7767857142857,527.5921052631579,1294.328947368421,522.6751269035533,1029.0558375634519
13,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00714.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00714.png,230.06060606060606,1188.8484848484848,259.18857142857144,794.1542857142857,418.7680412371134,1311.1855670103093,418.1280487804878,914.939024390244,529.6454545454545,1309.1727272727273,519.3737864077669,1033.2233009708739
14,/home/elec/Desktop/Aging/Week0/rat3/cam1/2018-06-08_15_00_15/frame00715.png,/home/elec/Desktop/Aging/Week0/rat3/cam2/2018-06-08_15_00_15/frame00715.png,238.42767295597486,1184.1446540880504,256.26973684210526,785.921052631579,413.07894736842104,1308.0592105263158,417.7130434782609,920.0521739130435,524.8706896551724,1318.3189655172414,517.0048309178744,1039.0048309178744
