The 3D marker tracked was used by the following settings:,,,,,,,,,,,,,,,,,,,,,,
Number of markers 5,,,,,,,,,,,,,,,,,,,,,,
SLIC parameters as Number 12000 Sig 1 Comp 5,,,,,,,,,,,,,,,,,,,,,,
Window size was 35,,,,,,,,,,,,,,,,,,,,,,
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22,,,,,,,,,,,,,,,,,,,,,,
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00000.png,140.8284024,1734.408284,94.70987654,1324.666667,190.9874214,1850.264151,133.540107,1475.973262,347.7608696,1767.398551,303.1136364,1456.628788,398.6106195,1928.035398,342.1829268,1745.628049,484.4126984,1947,410.0410959,1801.650685
1,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00001.png,140.2816092,1736.218391,93.39622642,1326.754717,190.7745665,1847.843931,135.3425414,1481.762431,341.3046875,1759.125,311.3769231,1458.623077,396.1798561,1927.870504,344.2215909,1746.602273,479.9695122,1951.27439,410.3666667,1812.55
2,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00002.png,139.4012605,1736.886555,94.4408867,1334.623153,195.115869,1851.823678,137.7869482,1486.447217,344.7591241,1756.875912,317.1288344,1455.503067,399.02,1928.2,341.890411,1741.979452,471.5578947,1944.189474,416.2121212,1812.287879
3,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00003.png,139.0214797,1737.565632,94.59290188,1338.559499,199.0976864,1853.475578,143.439759,1498.598394,348.75,1754.132813,323.8355263,1452.447368,389.7569444,1924.645833,339.2787879,1734.133333,472.010989,1946.868132,425.4415584,1811.305195
4,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00004.png,140.2477679,1739.044643,95.27608696,1342.552174,201.8923077,1850.301538,148.6090226,1508.145363,358.9529412,1750.247059,330.2160494,1449.04321,385.2,1927.514286,335.5974026,1724.175325,467.5657895,1941.907895,424.673913,1813.768116
5,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00005.png,151.0658436,1747.76749,102.9422633,1371.579677,224.9755102,1847.183673,185.4907834,1530.387097,380.8695652,1734.224638,345.8699187,1418.804878,399.5333333,1905.925,352.0707071,1664.883838,470.7904192,1948.772455,424.1692308,1770.176923
6,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00006.png,144.0728051,1741.062099,97.84042553,1351.090426,210.2803738,1847.570093,159.9860835,1510.666004,364.2142857,1746.081633,335.7846154,1432.594872,393.2767857,1918.669643,338.5706522,1709.961957,472.9545455,1942.753247,433.5737705,1774.672131
7,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00007.png,146.3566879,1742.363057,99.23568282,1355.854626,214.779661,1847.359322,166.1583333,1514.489583,367.9879518,1742.795181,335.698324,1426.893855,384.3253968,1913.087302,343.2360248,1699.018634,480.4516129,1935.88172,430.59,1741.11
8,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00008.png,148.1610879,1743.786611,100.8309278,1361.453608,219.0034364,1847.505155,172.2546584,1516.94824,368.8415842,1738.742574,337.3030303,1422.090909,391.518797,1911.097744,340.6458333,1682.401042,491.3364055,1927.138249,435.9923664,1727.251908
9,/home/elec/Desktop/Aging/Week0/rat2/cam1/2018-06-08_13_41_22/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam2/2018-06-08_13_41_22/frame00009.png,149.7679671,1745.907598,102.1527197,1366.866109,223.5366795,1849.146718,179.0285088,1524.157895,382.8384615,1735.892308,340.8181818,1419.590909,393.5913043,1907.895652,346.2526316,1672.968421,498.2666667,1923.56,443.8,1703.3
