The 3D marker tracked was used by the following settings:
Number of markers 5
SLIC parameters as Number 16000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31 and path for the second camera was /Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00000.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00000.png,180.08227848101262,896.9556962025316,246.08125,486.475,323.3695652173913,1008.6086956521741,355.8133333333333,611.7133333333334,422.4066666666667,888.24,452.1655172413793,564.0551724137931,482.8450704225352,920.9718309859156,498.28342245989313,668.1336898395722,544.0169491525423,854.3940677966102,555.1907216494844,597.2061855670103
1,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00001.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00001.png,195.8253012048193,889.2530120481928,246.98692810457518,480.6993464052288,327.58865248226954,1013.7943262411347,362.08396946564886,623.7251908396946,427.09090909090907,888.6753246753245,461.07284768211923,578.6754966887418,482.16949152542367,925.774011299435,493.3989898989899,676.8787878787879,544.0168067226891,858.6470588235294,555.7028301886792,599.5990566037735
2,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00002.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00002.png,205.54076539101501,896.7237936772046,235.25762711864402,475.3118644067797,323.7216035634744,1014.870824053452,359.2101265822785,611.3189873417722,435.020942408377,890.2565445026178,456.73076923076917,582.7307692307693,473.6063829787234,931.3404255319148,490.8443113772455,679.4790419161677,541.565,863.68,555.1428571428571,603.6742857142857
3,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00003.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00003.png,205.80272108843536,890.7142857142858,239.18940936863544,483.25458248472506,330.42909090909086,1007.2654545454544,356.2207505518764,604.0286975717438,438.3097826086956,892.8532608695652,461.3396226415094,577.7421383647799,474.59793814432993,931.2164948453607,489.8231292517007,684.8299319727893,543.8780487804878,867.30081300813,554.3297297297297,607.4162162162163
4,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00004.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00004.png,208.45047169811318,889.1792452830188,240.8533333333333,481.5422222222222,328.11460674157297,1009.7505617977527,356.28402366863907,587.5473372781065,444.4202898550725,895.8888888888888,465.2849162011173,582.268156424581,474.38888888888886,931.9111111111113,491.60162601626024,683.760162601626,542.0322580645161,873.2764976958525,555.2701612903227,608.2258064516128
5,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00005.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00005.png,192.39119804400974,878.3227383863082,242.6407982261641,481.37472283813753,329.55580357142856,1010.671875,356.99202127659566,587.4148936170212,447.84677419354836,896.75,467.97590361445776,585.8313253012049,471.94565217391306,937.4782608695652,493.4654377880185,679.0046082949309,543.4647302904564,875.1825726141078,554.0523255813954,614.0232558139535
6,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00006.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00006.png,192.01897018970192,875.9647696476966,239.9400630914826,479.8738170347003,333.06293706293707,1012.5967365967366,359.1764705882353,586.7535014005603,445.52469135802465,900.7222222222223,469.8202247191011,589.5842696629212,479.5365853658536,944.1036585365854,494.76397515527947,680.7763975155281,540.957671957672,880.9629629629628,554.5483870967741,615.1612903225806
7,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00007.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00007.png,194.11455108359127,875.5882352941177,242.96062992125985,483.9396325459318,337.13774104683193,1018.0440771349863,361.1580459770115,587.4540229885058,448.98994974874364,901.1557788944724,469.67980295566497,589.4729064039409,483.36781609195396,943.3448275862069,493.0054054054053,683.745945945946,542.7217391304348,883.7391304347825,553.2057142857143,620.8228571428573
8,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00008.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00008.png,193.62874251497,874.8712574850299,245.45656565656572,482.2282828282828,336.0360824742268,1010.9149484536084,361.5230352303523,588.3414634146343,452.6094674556213,903.3372781065087,469.9411764705882,590.6078431372549,471.8961038961039,944.7142857142856,497.3152173913044,683.3260869565217,540.626582278481,888.5886075949367,554.1666666666666,621.8292682926831
9,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00009.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00009.png,194.6923076923077,875.2390109890109,242.17197452229303,479.6019108280255,337.57835820895525,1012.7369402985074,362.6294117647059,587.8470588235293,451.1968085106383,905.1010638297873,469.60555555555567,591.05,476.76923076923083,951.3296703296704,490.6323529411765,686.3014705882352,542.3824884792626,891.110599078341,552.125748502994,628.2694610778442
10,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00010.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00010.png,193.7888563049853,876.0821114369502,245.92840646651268,482.87297921478057,339.4980079681275,1015.1912350597611,363.4369501466277,588.1935483870968,450.32307692307694,904.948717948718,469.29670329670336,591.4285714285714,479.08875739644964,951.828402366864,490.2983870967742,686.9435483870968,540.8951310861423,893.131086142322,553.313725490196,628.3803921568627
11,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00011.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00011.png,194.32080924855487,875.4624277456649,242.36,478.3890909090909,348.7275449101796,1019.8443113772456,363.9008498583569,588.5609065155808,449.94545454545454,905.6181818181817,469.2849162011173,592.3463687150838,479.2376237623762,951.3663366336633,493.8461538461538,688.4615384615386,539.4972677595629,900.830601092896,552.0175438596491,634.3508771929825
12,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00012.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00012.png,192.82758620689654,876.9028213166143,244.70588235294116,480.50464396284826,346.63052208835336,1016.3654618473897,369.1036036036036,585.7522522522522,451.2697674418605,907.4976744186048,468.44047619047615,595.4166666666666,479.47126436781616,954.5402298850573,494.265625,690.453125,540.3984375,901.71484375,551.5268817204302,637.0
13,/Volumes/SCI_Storage/Aging/Week0/rat3/cam1/2018-06-08_14_35_31/frame00013.png,/Volumes/SCI_Storage/Aging/Week0/rat3/cam2/2018-06-08_14_35_31/frame00013.png,196.34834123222748,882.9928909952607,246.83796296296296,483.22685185185196,351.81645569620247,1023.6107594936708,373.07446808510633,587.0,451.1951219512195,909.3951219512196,471.57803468208084,598.3988439306357,475.35263157894735,962.8368421052633,494.6769230769231,693.9230769230769,540.2554347826087,907.5380434782608,551.5567010309278,639.5051546391753
