The 3D marker tracked was used by the following settings:,,,,,,,,,,,,,,
Number of markers 3,,,,,,,,,,,,,,
SLIC parameters as Number 12000 Sig 1 Comp 5,,,,,,,,,,,,,,
Window size was 35,,,,,,,,,,,,,,
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22,,,,,,,,,,,,,,
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2
0,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00000.png,344.1719745,1084.821656,327.7307692,1466.701923,480.5267857,1232.776786,475.2932331,1552.360902,521.5813953,1105.011628,529.3666667,1581.366667
1,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00001.png,345.7928994,1084.12426,338.6092715,1470.317881,480.2755906,1223,474.1171875,1555.179688,519.9596774,1311.185484,526.0448718,1583.602564
2,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00002.png,352.0441176,1083.529412,340.86,1463.26,481.1937173,1218.95288,472.5602837,1559.723404,520.1928571,1320.857143,523.8586957,1586.461957
3,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00003.png,351.4044118,1080.955882,336.5,1467.43038,477.4375,1219.020833,472.1542553,1566.734043,545.9236641,1344.221374,522.4382716,1589.141975
4,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00004.png,350.0204082,1082.489796,333.3129252,1472.292517,475.7833333,1218.108333,470.3669065,1562.52518,541.8322581,1347.832258,523.3282051,1598.082051
5,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00005.png,353.6666667,1074.333333,333.2407407,1468.104938,475.9175258,1215.742268,471.3480392,1568.598039,531.9140625,1341.0625,516.0410959,1589.438356
6,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00006.png,348.1520468,1077.005848,329.2214286,1473.028571,474.6814815,1212.022222,468.9419355,1566.032258,518.7457627,1327.491525,517.825,1583.725
7,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00007.png,343.8830409,1077.964912,328.6774194,1468.729032,474.7916667,1206.216667,469.1860465,1562.627907,516.2470588,1302.158824,509.8366013,1580.169935
8,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00008.png,338.7669903,1077.859223,325.3649635,1471.635036,475.3333333,1200.555556,467.7638889,1553.784722,514.3139535,1281.75,513.2993631,1569.738854
9,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00009.png,342.6938776,1073.37415,322.1866667,1473.126667,477.568306,1194.994536,468.239726,1557.376712,518.9719626,1270.813084,516.2608696,1551.358696
10,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00010.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00010.png,337.2472527,1075.521978,322.9895833,1467.5,476.6470588,1190.655462,468.16,1550.673333,524.1741935,1258.380645,519.4956522,1533.2
11,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00011.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00011.png,333.827027,1075.167568,318.4233577,1472.80292,477.7672414,1185.560345,469.0571429,1543.385714,529.9552239,1246.746269,523.438914,1510.642534
12,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00012.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00012.png,328.1616162,1075.868687,315.4037267,1474.254658,481.5168539,1194.224719,469.8682171,1533.906977,529.6764706,1228.594118,522.3743017,1477.681564
13,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00013.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00013.png,332.8546512,1073.662791,318.5798319,1467.058824,482.72,1186.965714,470.344,1521.392,529.3277778,1208.027778,519.9939024,1456.70122
14,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00014.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00014.png,329.38,1077.045,315.9746835,1469.759494,484.9421965,1179.878613,469.3726708,1506.664596,530.4195402,1184.724138,517.7018634,1436.751553
15,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00015.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00015.png,323.5151515,1079.381818,314.433526,1473.115607,488.2013423,1168.127517,471.3819444,1496.451389,529.6994819,1169.259067,515.5798817,1418.597633
16,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00016.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00016.png,318.9347826,1083.059783,312.15625,1477.882813,489.45625,1165.55,473.3473054,1488.443114,528.3483146,1152.910112,512.0555556,1401.524691
17,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00017.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00017.png,316.084507,1085.866197,313.8014706,1472.647059,492.9057971,1150.405797,476.1890244,1478.926829,524.7861635,1128.553459,508.9717514,1385.333333
18,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00018.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00018.png,315.6928571,1087.721429,311.6875,1476.78125,494.1209677,1146.08871,479.4580645,1469.845161,524.7374302,1113.547486,505.5406977,1368.302326
19,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00019.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00019.png,319.380117,1088.152047,305.7569444,1485.291667,496.7235772,1140.560976,483.3759398,1458.338346,515.67,1085.98,502.3575419,1352.932961
20,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00020.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00020.png,314.776,1091.448,308.0079365,1483.825397,499.5384615,1132.641026,484.640625,1449.703125,515.0243902,1071.341463,499.6104651,1338.593023
21,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00021.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00021.png,318.5582822,1090.693252,304.6038961,1491.103896,500.220339,1119.050847,486.6614173,1440.653543,513.8818898,1057.629921,497.746988,1324.13253
22,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00022.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00022.png,320.0481928,1090.650602,304.4583333,1491.409722,504.4090909,1117.518182,490.5927835,1426.407216,513.7094595,1044.804054,495.3284314,1313.857843
23,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00023.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00023.png,325.1208054,1092.738255,305.0662252,1486.602649,507.2830189,1112.896226,487.8133333,1421.813333,513.4583333,1033.986111,495.3777778,1298.261111
24,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00024.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00024.png,318.4086022,1091.419355,308.8609626,1481.855615,509.3153153,1109.459459,493.1385542,1403.644578,513.3913043,1023.753623,493.3024691,1290.154321
25,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00025.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00025.png,316.9120879,1090.263736,306.8314607,1480.904494,510.4806202,1097.403101,496.1621622,1392.898649,513.5575758,1013.757576,494.9840426,1272.829787
26,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00026.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00026.png,314.971831,1087.802817,303.160221,1483.320442,513.2254902,1091.617647,495.8355263,1383.289474,514.1835443,1004.601266,493.5856354,1264.176796
27,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00027.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00027.png,316.8841463,1086.079268,303.6407186,1476.934132,514.0206186,1084.721649,495.4487179,1374.948718,512.983871,990.6935484,495.3941606,1246.642336
28,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00028.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00028.png,323.4423077,1085.455128,301.9414894,1480.606383,514.9052632,1076.526316,494.8947368,1366.605263,512.195122,984.804878,496.0684211,1236.863158
29,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00029.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00029.png,326.1882353,1079.147059,297.5988024,1471.730539,512.8609272,1067.423841,492.8888889,1359.058824,513.9240506,977.2278481,496.8957346,1226.943128
30,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00030.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00030.png,325.0157068,1078.120419,304.3125,1472.2,511.4274809,1062.564885,489.448,1351.776,514.6987952,972.7590361,498.6008969,1217.269058
31,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00031.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00031.png,321.8352273,1078.017045,299.4736842,1476.315789,510.1532258,1058.927419,493.3362069,1345.465517,520.8606061,966.9515152,501.059633,1208.022936
32,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00032.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00032.png,324.8410596,1068.483444,294.7115385,1471.942308,512.0747664,1050.242991,488.015748,1338.92126,517.4507042,963.5915493,504.8310811,1201.5
