The 3D marker tracked was used by the following settings:
Number of markers 5
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00000.png,234.73856209150327,755.1895424836601,173.51234567901236,1083.7962962962963,271.0,852.5631067961165,224.04205607476635,1170.3878504672898,416.34057971014494,820.3985507246376,388.84705882352944,1096.894117647059,423.96086956521737,1063.8434782608695,409.26126126126127,1271.0855855855855,528.7751196172248,1079.846889952153,517.5803921568628,1275.0627450980392
1,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00001.png,233.68987341772151,749.2278481012659,171.29891304347825,1086.4673913043478,270.25581395348837,856.4941860465117,223.26966292134833,1166.4943820224719,424.5845070422535,833.7112676056338,388.5529411764706,1097.1529411764707,425.18518518518516,1065.8765432098767,407.59447004608296,1272.483870967742,525.5690607734807,1085.0497237569061,515.109649122807,1278.5438596491229
2,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00002.png,234.09133858267717,737.4236220472441,174.21411192214111,1084.7323600973236,268.29972752043597,857.275204359673,224.26259946949602,1170.135278514589,425.0738636363636,836.5056818181819,387.7638888888889,1096.0925925925926,423.80988593155894,1066.7072243346008,405.3269230769231,1274.610576923077,528.6855345911949,1088.3459119496856,515.3688888888889,1281.8755555555556
3,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00003.png,234.28130081300813,738.8585365853659,175.71367521367523,1077.3475783475783,270.57943925233644,861.481308411215,223.5088408644401,1168.328094302554,425.8045977011494,838.8563218390805,386.8835616438356,1095.8082191780823,420.3755458515284,1067.0349344978165,405.3363636363636,1276.3636363636363,524.2380952380952,1090.7089947089946,512.8995215311005,1284.9377990430621
4,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00004.png,230.726582278481,724.3898734177216,170.1590909090909,1066.769696969697,269.23173277661795,861.473903966597,228.46774193548387,1171.7903225806451,428.28187919463085,843.510067114094,385.05847953216374,1094.2456140350878,424.1353711790393,1066.0873362445416,403.2215909090909,1274.909090909091,523.1079545454545,1092.153409090909,512.1589958158996,1287.9665271966528
5,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00005.png,223.47857142857143,727.3428571428572,170.11847389558233,1068.624497991968,277.7118644067797,869.4285714285714,215.93824228028504,1162.9714964370546,428.64497041420117,845.6804733727811,382.91089108910893,1092.851485148515,419.968253968254,1066.5357142857142,402.2127659574468,1275.654255319149,520.1404494382023,1095.0505617977528,511.43891402714934,1290.9185520361991
6,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00006.png,225.768115942029,725.631884057971,165.7809847198642,1062.8913412563668,277.1582568807339,872.5298165137615,214.24713958810068,1162.116704805492,420.8611111111111,835.0222222222222,382.7817258883249,1092.284263959391,423.5276381909548,1065.0,402.0969162995595,1279.612334801762,519.8629441624365,1097.5888324873097,509.04608294930875,1294.7557603686637
7,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00007.png,219.2129963898917,729.956678700361,155.4494382022472,1053.903370786517,277.879781420765,871.0710382513661,214.0625,1161.896551724138,417.76129032258063,831.6967741935484,382.31162790697675,1092.0093023255813,421.3972602739726,1064.662100456621,399.64397905759165,1276.6387434554974,516.6881720430108,1099.1021505376343,505.4736842105263,1297.5473684210526
8,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00008.png,217.1851851851852,730.0333333333333,162.7987804878049,1040.9207317073171,274.6927083333333,868.6119791666666,213.27252252252254,1161.1891891891892,414.2864583333333,827.6041666666666,382.35955056179773,1092.2808988764045,420.73267326732673,1064.118811881188,397.8216216216216,1277.0702702702702,517.510752688172,1100.8548387096773,503.2139303482587,1299.8059701492537
9,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_30_12/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_30_12/frame00009.png,218.90455531453364,737.0715835140998,161.7340425531915,1036.595744680851,273.55913978494624,870.1774193548387,225.96198830409355,1169.169590643275,413.8798076923077,825.4182692307693,381.04419889502765,1091.1491712707182,413.8105263157895,1060.1736842105263,396.90625,1277.0572916666667,513.4439024390244,1101.6097560975609,499.95454545454544,1301.8295454545455
