The 3D marker tracked was used by the following settings:,,,,,,,,,,,,,,,,,,,,,,
Number of markers 5,,,,,,,,,,,,,,,,,,,,,,
SLIC parameters as Number 16000 Sig 1 Comp 5,,,,,,,,,,,,,,,,,,,,,,
Window size was 35,,,,,,,,,,,,,,,,,,,,,,
Path for the first camera was /Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22 and path for the second camera was /Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22,,,,,,,,,,,,,,,,,,,,,,
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00000.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00000.png,118.1279621,1411.279621,129.3828571,1833,180.3101604,1530.673797,202.8684211,1938.578947,348.1242938,1458.19209,354.0421687,1823.463855,454.6509434,1557.136792,464.7924528,1801.446541,526.5413534,1473.255639,530.6038961,1726.207792
1,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00001.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00001.png,123.0059524,1413.190476,130.1699346,1841.836601,176.4859813,1536.46729,199.1925926,1936.837037,354.952,1456.888,363.3928571,1820.428571,461.9722222,1556.791667,472.6666667,1798.875,537.0429448,1481.079755,539.1329114,1727.177215
2,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00002.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00002.png,128.9732938,1411.400593,143.4259542,1840.725191,204.4840764,1542.772824,203.4053398,1936.26699,358.9820359,1453.946108,373.8066298,1818.325967,458.8571429,1557.395604,476.3185841,1791.150442,540.3714286,1488.177143,545.0512821,1733.882051
3,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00003.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00003.png,137.7089783,1413.972136,154.5758427,1829.314607,208.0642857,1534.0875,226.341629,1938.054299,370.1298701,1453.019481,377.6485149,1816.232673,469.4539007,1566.170213,485.2015504,1805.387597,546.9918033,1518.860656,552.1676647,1754.754491
4,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00004.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00004.png,130.297619,1413.113095,148.9127182,1834.483791,201.4539326,1532.797753,223.1688312,1936.277922,369.7409639,1454.295181,374.4,1816.092308,472.6299213,1563.669291,485.2795699,1801.946237,547.8976378,1510.102362,551.53125,1748.1875
5,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00005.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00005.png,171.257085,1431.765182,180.584,1846.818667,233.351706,1548.246719,262.2521552,1953.135776,394.4401914,1467.511962,406.377551,1815.122449,484.4491979,1597.540107,491.8969697,1816.527273,545.2946429,1559.258929,551.7106599,1788.48731
6,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00006.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00006.png,153.4753289,1424.582237,158.6856287,1824.898204,217.1663586,1538.90573,235.4545455,1941.747475,377.4117647,1455.941176,376.1690141,1816.485915,486.9415584,1603.402597,489.3859649,1822.754386,548.1639344,1527.877049,551.5392157,1760.637255
7,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00007.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00007.png,146.655303,1422.534091,164.9153605,1829.059561,224.609375,1542.929688,243.4671053,1945.177632,381.7171717,1456.969697,381.536,1817.136,482.6837061,1615.303514,494.0632911,1822.436709,547.3515625,1534.734375,550.7741935,1766.798387
8,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00008.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00008.png,154.4234801,1430.176101,170.2535714,1833.842857,221.5573248,1537.544586,252.7280164,1947.756646,382.6864865,1455.913514,386.4179104,1817.589552,478.6129032,1621.980645,493.3012821,1829.583333,546.8032787,1542.893443,551.8724832,1774.362416
9,/Volumes/SCI_Storage/Aging/Week0/rat2/cam3/2018-06-08_13_41_22/frame00009.png,/Volumes/SCI_Storage/Aging/Week0/rat2/cam4/2018-06-08_13_41_22/frame00009.png,170.0472335,1436.757085,180.5428571,1845.711111,228.7673797,1543.032086,256.6851441,1950.008869,389.4375,1458.70625,391.5714286,1816.647059,476.6166667,1627.716667,496.8346457,1829.370079,546.929078,1550.085106,550.2393162,1780.692308
