The 3D marker tracked was used by the following settings:,,,,,,,,,,,,,,,,,,,,,,
Number of markers 5,,,,,,,,,,,,,,,,,,,,,,
SLIC parameters as Number 12000 Sig 1 Comp 5,,,,,,,,,,,,,,,,,,,,,,
Window size was 35,,,,,,,,,,,,,,,,,,,,,,
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13,,,,,,,,,,,,,,,,,,,,,,
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00000.png,172.7627119,1237.050847,171.8101852,1599.342593,219.7588652,1345.744681,234.8139535,1673.20155,389.1398601,1301.27972,391.5625,1598.1375,369.3083333,1539.558333,397.9657143,1745.977143,487.2945736,1577.503876,500.6637168,1756.053097
1,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00001.png,175.8055556,1229.816667,166,1581.605042,221.4166667,1329.583333,229.9752475,1667.50495,394.5913043,1308.434783,397.2849462,1599.344086,384.3574661,1531.312217,395.0251256,1746.21608,485.796875,1577.164063,483.5159011,1766.325088
2,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00002.png,182.2222222,1222.148148,173.9769231,1575.059615,225.4934726,1330.180157,229.0303951,1665.012158,397.84375,1310.9875,394.2209302,1597.662791,379.0518868,1525.84434,392.1834061,1745.344978,486.2432432,1576.121622,483.4034091,1772.454545
3,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00003.png,181.8038067,1207.02489,171.1049069,1576.033841,225.6273973,1328.065753,234.5867159,1666.04428,399.0336134,1311.689076,394.8,1596.15,374.9205021,1522.313808,388.4754098,1743.879781,476.9072848,1573.377483,481.4160584,1769.175182
4,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00004.png,181.8978417,1205.32518,169.5376956,1578.972973,226.3680782,1327.13355,234.5865922,1664.310987,396.6226415,1303.937107,394.5194805,1594.545455,370.0904523,1513.824121,383.5625,1740.68125,469.173913,1569.478261,486.4923077,1768.584615
5,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00005.png,181.9134897,1201.457478,171.6204506,1572.901213,229.8108108,1327.764128,234.8511384,1662.779335,395.389313,1301.534351,394.0672269,1591.991597,362.9166667,1508.823529,378.975,1739.4375,470.7088608,1564.075949,476.6329787,1771.090426
6,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00006.png,182.8236273,1202.244592,166.9685185,1562.518519,234.5943152,1333.625323,234.6493256,1661.348748,394.9710145,1297.985507,391.1756757,1583.707207,356.2758621,1498.79803,372.1637427,1737.239766,466.6071429,1555.428571,472.3391813,1762.368421
7,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00007.png,182.960452,1202.813559,165.0837838,1551.259459,234.0227848,1328.394937,239.5944206,1664.298283,393.870229,1293.854962,387.5430464,1580.589404,346.9833333,1493.955556,361.0384615,1737.317308,463.0116279,1541.639535,456.7971014,1753.898551
8,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00008.png,179.2475728,1189.194175,164.1602564,1553.477564,227.61079,1317.489403,241.1886305,1662.328165,394.8257576,1291.719697,385.2261905,1575.714286,347.73,1483.26,348.2342342,1729.495495,453.5431034,1518.87069,464.7681159,1745.188406
9,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_29_13/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_29_13/frame00009.png,176.9597586,1192.517103,165.0902778,1546.0625,234.6613757,1319.404762,241.5141243,1661.629944,395.4388489,1288.604317,383.6098901,1571.494505,337.7239819,1483.466063,354.1268657,1727.141791,455.4615385,1499.24359,445.8711656,1734.634969
