The 3D marker tracked was used by the following settings:
Number of markers 5
SLIC parameters as Number 12000 Sig 1 Comp 5
Window size was 35
Path for the first camera was /home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28 and path for the second camera was /home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28
Frames,First Camera Frames Name,Second Camera Frames Name,Y Coordinate M,X Coordinate M,Y Coordinate M2,X Coordinate M2,Y Coordinate N,X Coordinate N,Y Coordinate N2,X Coordinate N2,Y Coordinate O,X Coordinate O,Y Coordinate O2,X Coordinate O2,Y Coordinate P,X Coordinate P,Y Coordinate P2,X Coordinate P2,Y Coordinate Q,X Coordinate Q,Y Coordinate Q2,X Coordinate Q2
0,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00000.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00000.png,146.08080808080808,1150.4747474747476,121.0125,1523.93125,219.40217391304347,1255.4782608695652,206.72321428571428,1636.4017857142858,358.0879120879121,1171.9175824175825,346.75324675324674,1501.3116883116884,441.79213483146066,1283.241573033708,443.92035398230087,1507.345132743363,490.8735632183908,1186.5977011494253,476.6609195402299,1427.0114942528735
1,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00001.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00001.png,139.19417475728156,1143.873786407767,123.26315789473684,1542.7315789473685,208.26666666666668,1250.4466666666667,211.7972972972973,1628.2702702702702,360.61538461538464,1167.7482517482517,345.1686746987952,1495.2710843373493,454.16541353383457,1272.2706766917292,447.7142857142857,1490.5238095238096,494.1980198019802,1171.148514851485,478.6644736842105,1408.5065789473683
2,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00002.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00002.png,141.58568738229755,1131.4143126177025,120.51743119266055,1550.2825688073394,209.58204334365325,1247.5665634674922,200.70812182741116,1621.8756345177665,358.0701754385965,1161.8538011695907,346.98591549295776,1488.849765258216,456.31159420289856,1259.1884057971015,444.2631578947368,1475.4795321637428,496.79824561403507,1161.342105263158,480.7517730496454,1391.595744680851
3,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00003.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00003.png,139.95703125,1129.384765625,122.0370942812983,1540.1576506955178,210.88659793814432,1243.749140893471,201.87746170678338,1618.234135667396,357.73372781065086,1155.3905325443786,343.3419689119171,1483.2694300518135,459.0,1247.9127516778524,441.0,1466.9381443298969,498.1111111111111,1148.548611111111,483.74657534246575,1375.664383561644
4,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00004.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00004.png,138.91444866920153,1126.6007604562737,118.26488706365504,1545.5482546201233,210.43425076452598,1236.9388379204893,201.33414634146342,1614.8024390243902,354.8553459119497,1148.553459119497,341.4019607843137,1476.950980392157,462.52941176470586,1237.2941176470588,440.752380952381,1453.857142857143,503.9916666666667,1141.6916666666666,488.8646616541353,1363.1278195488721
5,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00005.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00005.png,137.9223107569721,1126.1235059760957,120.71452991452992,1537.3538461538462,208.81592039800995,1229.955223880597,201.4973821989529,1610.8874345549739,354.8,1141.56875,339.4581280788177,1471.0049261083743,464.2751677852349,1229.020134228188,450.8383233532934,1439.3353293413174,510.9765625,1134.2578125,491.56190476190477,1353.4285714285713
6,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00006.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00006.png,138.284,1117.552,117.2863436123348,1539.5594713656387,209.44634146341463,1224.2975609756097,202.13301662707838,1606.0878859857482,353.93835616438355,1135.2876712328766,341.4093567251462,1464.9590643274853,458.97969543147207,1221.4670050761422,460.8992805755396,1424.3093525179856,516.6111111111111,1130.6825396825398,503.64963503649636,1346.7445255474452
7,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00007.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00007.png,137.77484787018255,1117.9655172413793,118.12008733624455,1540.971615720524,210.35766423357666,1219.1727493917274,203.05343511450383,1602.0636132315522,354.06164383561645,1128.4109589041095,340.42180094786727,1459.1943127962086,461.9,1217.2222222222222,461.3739837398374,1426.260162601626,525.4511278195489,1131.9097744360902,508.4018691588785,1342.4579439252336
8,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00008.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00008.png,139.32620320855614,1109.258467023173,119.91419141914191,1522.1320132013202,210.72470588235294,1213.4423529411765,201.05128205128204,1596.6153846153845,353.7348484848485,1124.3181818181818,339.68888888888887,1455.2555555555555,461.6442307692308,1214.0288461538462,463.8690476190476,1425.345238095238,535.7672413793103,1138.7758620689656,522.7734375,1340.9921875
9,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00009.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00009.png,141.80045871559633,1099.3623853211009,119.57172131147541,1520.9959016393443,212.00224719101124,1208.1662921348316,200.67462686567166,1591.0776119402985,353.9016393442623,1118.9754098360656,348.1237623762376,1448.8960396039604,470.7852348993289,1215.456375838926,468.5272727272727,1425.2424242424242,546.3680981595091,1139.6748466257668,529.0555555555555,1342.7111111111112
10,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00010.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00010.png,141.69606003752347,1102.121951219512,121.97113402061856,1519.981443298969,211.3385214007782,1200.058365758755,201.4891640866873,1586.2569659442725,359.49152542372883,1118.7570621468926,351.9740932642487,1445.0880829015543,469.3363636363636,1217.6,473.9022988505747,1427.2758620689656,552.4962406015038,1153.6015037593984,535.3255813953489,1349.6744186046512
11,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00011.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00011.png,145.3008658008658,1092.5930735930735,124.69669117647058,1518.5128676470588,216.44201312910286,1200.0306345733043,202.4031007751938,1582.6434108527133,364.2704081632653,1119.3469387755101,353.0487804878049,1442.591463414634,476.1058823529412,1219.7058823529412,463.74285714285713,1431.557142857143,551.5619834710744,1159.090909090909,534.4942528735633,1353.8505747126437
12,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00012.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00012.png,147.33013435700576,1094.809980806142,127.71698113207547,1519.0754716981132,216.11150442477876,1193.5929203539822,206.20388349514565,1578.4045307443366,368.7906976744186,1120.3302325581396,356.0111731843575,1440.8882681564246,471.33009708737865,1225.0679611650485,477.3063583815029,1438.1849710982658,551.2739726027397,1164.7397260273972,537.237037037037,1363.7555555555555
13,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00013.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00013.png,151.1854043392505,1087.1400394477319,132.0371517027864,1520.0371517027863,219.88614800759012,1189.19165085389,209.01290322580644,1576.0354838709677,373.22549019607845,1121.4411764705883,360.70348837209303,1439.1511627906978,471.65555555555557,1231.5444444444445,468.25773195876286,1450.1752577319587,548.8354430379746,1181.0506329113923,537.7982456140351,1370.1491228070176
14,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00014.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00014.png,158.1397174254317,1084.839874411303,136.98758620689654,1499.1875862068966,221.24415584415584,1184.5506493506493,209.95652173913044,1573.7971014492753,378.4739336492891,1122.739336492891,364.59763313609466,1437.5562130177516,468.3,1230.2272727272727,474.5126582278481,1446.7025316455697,552.9352517985611,1182.9928057553957,536.8348623853211,1375.9908256880733
15,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00015.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00015.png,160.25296442687747,1089.6699604743083,137.959940652819,1489.4287833827893,223.88425925925927,1182.1342592592594,210.23039215686273,1571.9583333333333,378.34841628959276,1121.1945701357465,365.40343347639487,1438.266094420601,467.625,1239.21875,471.589552238806,1451.1194029850747,547.0519480519481,1191.155844155844,537.09243697479,1382.7478991596638
16,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00016.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00016.png,163.33952702702703,1080.0320945945946,137.4637037037037,1471.568888888889,226.62374245472836,1182.8993963782696,211.77546296296296,1570.3935185185185,382.84393063583815,1123.4161849710983,367.10550458715596,1437.334862385321,468.1940298507463,1242.6716417910447,470.5220588235294,1455.0073529411766,549.2327586206897,1192.155172413793,537.7768595041323,1388.809917355372
17,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00017.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00017.png,165.47807933194156,1073.4488517745303,140.48788368336025,1469.0290791599355,228.8183632734531,1182.8502994011976,213.62579281183932,1569.3150105708246,381.0081632653061,1121.8612244897959,369.0502512562814,1437.3517587939698,468.2406015037594,1246.9924812030076,469.36690647482015,1459.8776978417266,547.9689440993789,1193.5093167701864,535.6140350877193,1394.6842105263158
18,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00018.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00018.png,168.82229965156796,1077.52787456446,136.83989501312337,1453.0577427821522,229.26923076923077,1180.0534188034187,214.86454183266932,1567.906374501992,381.33644859813086,1121.3551401869158,366.52941176470586,1437.6470588235295,466.90625,1251.0546875,468.26027397260276,1464.9520547945206,548.4758064516129,1204.5,535.1748251748252,1400.3776223776224
19,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00019.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00019.png,170.66864784546806,1080.4873699851412,141.26530612244898,1447.7142857142858,230.90427698574337,1179.560081466395,216.50093808630393,1567.033771106942,382.1453744493392,1121.1894273127753,366.0333333333333,1437.4380952380952,465.468253968254,1254.9444444444443,455.7809523809524,1476.4095238095238,550.6,1212.0411764705882,535.0753424657535,1406.486301369863
20,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00020.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00020.png,175.23467600700525,1074.586690017513,145.79900744416875,1451.3672456575682,230.9863325740319,1176.0296127562642,218.05938697318007,1566.6628352490422,383.1504854368932,1121.504854368932,364.41477272727275,1435.8579545454545,456.265306122449,1253.8299319727892,454.0480769230769,1482.5961538461538,548.6067415730337,1216.6966292134832,531.0879120879121,1409.956043956044
21,/home/elec/Desktop/Aging/Week0/rat2/cam3/2018-06-08_13_42_28/frame00021.png,/home/elec/Desktop/Aging/Week0/rat2/cam4/2018-06-08_13_42_28/frame00021.png,177.8411910669975,1068.106699751861,147.0325,1446.9025,231.27610208816705,1174.4733178654292,218.93005671077503,1565.897920604915,384.13744075829385,1122.0426540284361,363.52197802197804,1433.2142857142858,448.55357142857144,1261.75,443.2566371681416,1486.5663716814158,545.8993288590605,1217.3221476510066,534.8082191780821,1418.9931506849316
